Date	Day	Tactics	Actors	Target	Event Description	Country	Location	Battle	Duration	Nationalist troops	Nat Arrests	Nat injuries	Nat deaths	Rep troops	Rep arrests	Rep injuries	Rep deaths	Workers	Civilian inj	Civiliandeaths	Source	Date	no event	Source Descriptions
22-Jul-36	Wed	flee	citizens	Nationalists	flee from conflict to Gibraltar	Spain	Malaga	Malaga		301	0	0	0	30001	0	0	0	4500	0	0	Times (London)	7/23/1936		
22-Jul-36	Wed	hostage	Republicans	Nationalists	hold 5 aristocratic women	Spain	Oropesa	Oropesa		31	5	0	0	1001	0	0	0	0	0	0	Knickerbocker			
22-Jul-36	Wed	extortion	Republicans	citizens	"take 200,000 pesetas from business people"	Spain	Torrijos	Torrijos		101	0	0	35	3001	0	0	0	0	0	0	Knickerbocker			
22-Jul-36	Wed	battle	Republicans	Nationalists	battle for city	Spain	San Sebastian	San Sebastian		15000	0	8	3	12000	0	8	3	0	0	0	New York Times	7/23/1936		
23-Jul-36	Thu	battle	Nationalists	Republicans	Republicans defeat Nationalist challenge	Spain	Sierra mountains	Sierra mountains		301	0	8	3	3001	0	0	0	0	0	0	Broue & Temime			
23-Jul-36	Thu	battle	Nationalists	Republicans	nine-day fire fight	Spain	Baena	Baena		301	0		3	301			9		0	12	Fraser			
23-Jul-36	Thu	arrest	Nationalists	Republicans	arrest Republicans	Spain	Cordoba			1001	0	0	0	0	18	0	0	0	0	0	Fraser			
23-Jul-36	Thu	murder	Nationalists	workers	shoot dead 12 workers	Spain	Carmona			101	0	0	0	0	0	0	0	0	0	12	Fraser			
23-Jul-36	Thu	siege	Republicans	military academy	surround & occasionally shell Alcazar	Spain	Toledo	Alcazar		1000	0	0	1	1001	0	0	0	0	0	0	Jackson			
23-Jul-36	Thu	battle	Nationalists	Republicans	Nationalists continue to attack; Republicans use artillery	Spain	Gijon	Gijon		301	0	0	0	1001	0	0	0	0	0	0	Fraser			
23-Jul-36	Thu	hostage	Republicans	Nationalists	take son of insurgent colonel prisoner	Spain	Toledo	Toledo		1001	1	0	0	1001	0	0	0	0	0	0	Jackson			
23-Jul-36	Thu	hostage	Republicans	Nationalists	hold wife & daughter of General de Llona	Spain	Malaga	Malaga		301	2	0	0	30001	0	0	0	0	0	0	Knickerbocker			
23-Jul-36	Thu	hostage	Republicans	Nationalists	hold 5 aristocratic women	Spain	Oropesa	Oropesa		31	5	0	0	1001	0	0	0	0	0	0	Knickerbocker			
24-Jul-36	Fri	arrest	Nationalists	Republicans	arrest Republicans	Spain	Cordoba			1001	0	0	0	0	17	0	0	0	0	0	Fraser			
24-Jul-36	Fri	battle	Nationalists	Republicans	nine-day fire fight	Spain	Baena	Baena		301	0		2	301			11		0	12	Fraser			
24-Jul-36	Fri	assassinate	Republicans	citizen	kill a man for belonging to Catholic organization	Spain	Barcelona							3					0	1	Fraser			
24-Jul-36	Fri	assassinate	Republicans	citizen	kill a man whose sister is a nun	Spain	Barcelona							3					0	1	Fraser			
24-Jul-36	Fri	execution	Nationalists	Republicans	"shoot dead 300, including a pregnant woman"	Spain	Lora del Rio			301	0	0	0	0		0	0	0	0	300	Fraser			
24-Jul-36	Fri	murder	Republicans	Nationalists	bury 23 right-wingers alive	Spain	El Arahal			0	0	0	23	301		0	0	0	0	0	Fraser			
24-Jul-36	Fri	execution	Nationalists	Republicans	shoot 75 dead	Spain	El Arahal			301	0	0	0	31		0	75	0	0	0	Fraser			
24-Jul-36	Fri	attack	Nationalists	Republicans	burn workers' houses and roust out workers' militia	Spain	Posadas			301	0	0	0	101		0	1	0	0	0	Fraser			
24-Jul-36	Fri	arrest	Nationalists	Republicans	arrest Republicans	Spain	Cordoba			1001	0	0	0	0	16	0	0	0	0	0	Fraser			
24-Jul-36	Fri	bombing	Republicans	Nationalists	use Air Force planes to bomb Nationalist forces	Spain	Granada			1001	0	0	0	0	0	0	0	0	101	31	Fraser			
24-Jul-36	Fri	siege	Republicans	military academy	surround & occasionally shell Alcazar	Spain	Toledo	Alcazar		1000	0	0	1	1001	0	0	0	0	0	0	Jackson			
24-Jul-36	Fri	battle	Nationalists	Republicans	Nationalists continue to attack; Republicans use artillery	Spain	Gijon	Gijon		301	0	0	0	1001	0	0	0	0	0	0	Fraser			
